Full Address,Marker Label,Building Code,Filter,Site,Building,Address,Postcode,Service Directorate,Department,TENURE,TERM START,LEASE EXPIRY DATE,1954 ACT SECURITY,NOTICE PERIOD,TERM REMAINING (Yrs),GIA m2 Total,GIA m2 Clinical,GIA m2 Non Clinical,GIA m2 Void,Land Area (ha)
12 Kenworthy Road, E9 5TD, UK,John Warburton Building  - John Warburton Building  (2154b),2154b,Forensics,John Warburton Building ,John Warburton Building ,12 Kenworthy Road,E9 5TD,FORENSIC ,Inpatient Facility ,FREEHOLD,,,,,0,4404.0,4320.0,84.0,0.0,0.4404
12 Kenworthy Road, E9 5TD, UK,Whitbread Building - Whitbread Building (2153c),2153c,Forensics,Whitbread Building,Whitbread Building,12 Kenworthy Road,E9 5TD,FORENSIC ,Inpatient Facility ,FREEHOLD,,,,,0,2610.0,2471.0,29.0,0.0,0.261
12 Kenworthy Road, E9 5TD, UK,Elizabeth Fry Building - Elizabeth Fry Building (2154a),2154a,Forensics,Elizabeth Fry Building,Elizabeth Fry Building,12 Kenworthy Road,E9 5TD,FORENSIC ,Inpatient Facility ,FREEHOLD,,,,,0,2192.0,2153.0,39.0,0.0,0.2192
12 Kenworthy Road, E9 5TD, UK,Beaumont Building - Beaumont Building (2155),2155,Forensics,Beaumont Building,Beaumont Building,12 Kenworthy Road,E9 5TD,FORENSIC ,Inpatient Facility ,FREEHOLD,,,,,0,1076.0,0.0,1076.0,0.0,0.1076
12 Kenworthy Road, E9 5TD, UK,Main Reception  - Main Reception  (2156),2156,Forensics,Main Reception ,Main Reception ,12 Kenworthy Road,E9 5TD,FORENSIC Reception,Team Base,FREEHOLD,,,,,0,380.0,380.0,0.0,0.0,0.038
12 Kenworthy Road, E9 5TD, UK,Millfields Unit - Millfields Unit (2157a),2157a,Forensics,Millfields Unit,Millfields Unit,12 Kenworthy Road,E9 5TD,FORENSIC,Inpatient Facility ,FREEHOLD,,,,,0,2670.0,2474.0,26.0,0.0,0.267
311-315 Green Lanes , N4 2ES, UK,Wolfson House - Wolfson House (2158),2158,Forensics,Wolfson House,Wolfson House,311-315 Green Lanes ,N4 2ES,FORENSIC,Recovery Unit,FREEHOLD,,,,,0,5000.0,4935.0,65.0,0.0,0.5
9 Alie St , E1 8DE , UK,Alie St - Alie St (2159),2159,Trust Wide,Alie St,Alie St,9 Alie St ,E1 8DE ,CORPORATE - Estates / Staffside Unions / HR / Finance / Exec,Team Base,FREEHOLD,,,,,0,3865.0,0.0,3865.0,0.0,0.3865
Unit 10H Britannia Estate, Leagrave Road, LU3 1RJ, UK,Unit 10H Brittania Ind Estate  - Unit 10H Brittania Industrial Estate (2253),2253,Trust Wide,Unit 10H Brittania Ind Estate ,Unit 10H Brittania Industrial Estate,Unit 10H Britannia Estate, Leagrave Road,LU3 1RJ,Procurement,PPE storage facility,LEASEHOLD,2023-03-20 00:00:00,2028-03-19 00:00:00,No,6 months,4,324.33,0.0,0.0,0.0,0.032433
 84 West Ham Lane , E15 4PT , UK,West Ham Lane Health Centre  - West Ham Lane (2166),2166,CH Newham,West Ham Lane Health Centre ,West Ham Lane, 84 West Ham Lane ,E15 4PT ,Children and Specialist Services,SCYPS,LEASEHOLD,2019-04-01 00:00:00,2029-04-01 00:00:00,No,3 months notice,5,1044.11,929.0,24.0,0.0,0.10441099999999999
30 Church Road, E12 6AQ , UK,The Centre Manor Park  - Centre Manor Park (2167),2167,CH Newham,The Centre Manor Park ,Centre Manor Park,30 Church Road,E12 6AQ ,CH Newham/Primary Care,Clinical Teams/Team Base,UNDER LEASE PLUS AGREEMENT (ULPA),2018-08-14 00:00:00,2034-08-14 00:00:00,No,3 months notice,10,538.0,512.0,26.0,0.0,0.0538
306 Shrewsbury Road , E7 8QP , UK,Shrewsbury Health Centre  - Shrewsbury Road (2168),2168,CH Newham,Shrewsbury Health Centre ,Shrewsbury Road,306 Shrewsbury Road ,E7 8QP ,Childrens and Specialist Services/CH Newham,Adult Community Services/Foot Health/SCYPS/Newham Integrated Discharge Hub (IDH) & MSK Single Point Of Access (SPA),Tenancy at Will,2019-04-01 00:00:00,2029-04-01 00:00:00,No,3 months notice,5,804.92,915.0,22.0,0.0,0.080492
